user ids,Gender,Age,selected items,Items Count,Budget,Spend,Session Duration,Fruits,Grains,Dairy,Vegetables,Meat,Baby Care,Beverages,Health & Beauty,Pasta,Oils,Frozen Meals,Spreads,Sweets,Breakfast,Dairy Alternatives,Snacks,Household,Instant Meals,Supplements,Bakery,Protein,Condiments,Cereal,Frozen Dessert,Breakfast Cereals,Healthy,Calories,Fat,Carbs,Proteins
102,male,50,"[14, 38, 11, 10, 12, 24, 19, 20]",8,1000.0,955.66,16.56971,1.0,1.0,,2.0,,,,,,,,,,,,,3.0,,,,1.0,,,,,0,408.0,6.4,76.0,18.2
40,male,22,"[2, 6, 5, 3, 4]",5,1000.0,498.07,13.102039,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,511.0,5.6,74.0,42.3
40,male,22,"[2, 5, 24, 3, 4, 23]",6,1000.0,926.66,19.895898,1.0,1.0,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,0,493.0,5.4,70.0,41.3
40,male,22,"[2, 5, 48, 3, 4, 47, 23, 46, 44, 45]",10,10000.0,8943.7,30.060452,1.0,1.0,,1.0,1.0,5.0,,,,,,,,,,,1.0,,,,,,,,,0,493.0,5.4,70.0,41.3
40,male,23,"[9, 11, 10, 12, 8]",5,1000.0,430.02,168.761038,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,0,367.0,8.8,54.0,26.2
123,male,33,"[6, 5, 9, 8, 7]",5,1000.0,448.25,10.082914,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0,548.0,12.2,83.0,30.0
123,male,33,"[6, 5, 9, 11, 10, 12, 8, 7]",8,1000.0,699.91,10.207756,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,0,735.0,18.0,110.0,42.2
123,male,33,"[6, 5, 9, 11, 10, 8, 7]",7,1000.0,609.56,31.29369,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,0,673.0,17.8,95.0,41.0
234,male,324,"[2, 1, 3]",3,1000.0,268.73,12.82663,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,0,180.0,1.1,44.0,3.6
232,male,34,"[6, 5, 9, 8, 7, 3, 4]",7,1000.0,806.17,11.883974,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,736.0,16.2,86.0,63.0
232,male,34,"[6, 5, 8, 24, 7, 3, 4]",7,1000.0,893.4,24.784718,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,0,636.0,14.2,74.0,53.0
232,male,34,"[6, 5, 8, 24, 7, 3, 4]",7,1000.0,893.4,79.326252,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,0,636.0,14.2,74.0,53.0
232,male,89,"[8, 7]",2,1000.0,271.38,11.263,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0,230.0,9.0,27.0,12.0
232,male,89,"[24, 7, 23]",3,1000.0,642.88,59.261965,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,0,150.0,8.0,12.0,8.0
232,male,18,"[6, 5, 9, 10, 8, 7]",6,1000.0,531.37,9.187538,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,0,618.0,17.2,84.0,36.0
123,male,1029,"[2, 6, 5, 8, 7, 3, 4]",7,1000.0,769.45,12.098707,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,741.0,14.6,101.0,54.3
232,male,20,"[2, 6, 5, 9, 1, 8, 7, 3, 4]",9,1000.0,908.1,9.416963,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,893.0,16.900000000000002,127.0,64.6
232,male,10,"[14, 6, 5, 9, 11, 10, 12, 8, 24, 7]",10,1000.0,891.04,10.762972,2.0,3.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,0,940.0,18.5,155.0,47.2
232,male,10,"[14, 6, 5, 9, 11, 10, 12, 8, 24, 7]",10,1000.0,891.04,11.920889,2.0,3.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,0,940.0,18.5,155.0,47.2
232,female,32,"[6, 5, 9, 8, 7, 3, 4]",7,1000.0,806.17,11.623821,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,736.0,16.2,86.0,63.0
232,female,32,"[6, 5, 9, 8, 7, 3, 4]",7,1000.0,806.17,13.218951,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,736.0,16.2,86.0,63.0
232,male,23,"[14, 9, 11, 10, 12, 8, 24, 19]",8,1000.0,847.03,27.219241,1.0,2.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,1.0,,,,,0,572.0,9.3,99.0,31.2
232,male,23,"[14, 9, 11, 10, 12, 8, 7, 15]",8,1000.0,863.24,7.485188,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,0,832.0,26.3,112.0,46.2
232,male,23,"[58, 14, 38, 9, 11, 49, 10, 54, 12, 42, 8, 62, 48, 63, 7, 47, 53, 51, 41, 59, 61, 13, 46, 50, 52, 44, 39, 60, 40]",29,10000.0,7493.33,33.672511,1.0,2.0,2.0,2.0,1.0,6.0,2.0,6.0,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,0,2108.0,63.7,276.0,91.2
123,male,89,"[14, 11, 12, 24, 19, 20, 15, 18, 16, 13, 23, 21, 22, 17]",14,10000.0,5217.49,51.895559,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,9.0,,,,,,,,,0,682.0,26.3,72.0,43.2
232,male,98,"[6, 5, 9, 11, 10, 8, 7, 4]",8,1000.0,800.68,12.648861,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,0,838.0,21.4,95.0,72.0
232,male,98,"[6, 5, 9, 11, 10, 8, 7, 4]",8,1000.0,800.68,13.80974,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,0,838.0,21.4,95.0,72.0
232,male,877,"[6, 5, 8, 7, 4]",5,1000.0,570.22,12.653401,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0,613.0,13.8,71.0,51.0
232,male,877,"[6, 38, 5, 7, 4]",5,1000.0,516.33,29.066944,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,549.0,12.9,60.0,48.0
234,male,90,"[95, 98]",2,1000.0,615.21,51.925326,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,0,340.0,5.0,55.0,20.0
232,male,78,"[14, 6, 38, 5, 9, 11, 10, 12, 8, 24, 7]",11,1000.0,946.36,11.002251,2.0,3.0,2.0,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,0,956.0,18.6,159.0,48.2
232,male,23,"[14, 9, 11, 10, 12, 24, 19, 20]",8,1000.0,969.49,17.215525,1.0,1.0,1.0,1.0,,,,,,,,,,,,,3.0,,,,1.0,,,,,0,492.0,8.299999999999999,84.0,27.2
232,male,23,"[6, 5, 9, 8, 7, 3, 4]",7,1000.0,806.17,9.296422,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,736.0,16.2,86.0,63.0
232,male,23,"[6, 5, 8, 7, 3, 4]",6,10000.0,737.02,27.68184,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,636.0,14.2,74.0,53.0
232,male,23,[],0,10000.0,0.0,39.72188,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0
232,male,23,"[6, 5, 8, 7, 3, 4]",6,10000.0,737.02,45.974054,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,636.0,14.2,74.0,53.0
232,male,23,"[91, 94, 90, 95, 92, 88, 93, 89]",8,10000.0,5812.64,64.514647,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,2.0,,,1.0,,,,,,,0,1200.0,36.5,157.0,62.0
123,male,89,"[66, 80, 77, 74, 91, 94, 70, 62, 75, 63, 79, 90, 83, 72, 81, 65, 85, 68, 61, 86, 92, 82, 87, 64, 84, 88, 93, 73]",28,10000.0,7743.17,91.775053,,1.0,,1.0,,,5.0,4.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,1.0,1.0,,1.0,1.0,0,2580.0,87.7,379.0,79.0
123,male,78,"[49, 54, 48, 47, 53, 51]",6,1000.0,931.81,13.174272,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,0,0.0,1.0,0.0,0.0
123,male,78,"[6, 5, 49, 54, 8, 48, 7, 4]",8,1000.0,851.61,32.643988,1.0,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,0,613.0,14.8,71.0,51.0
123,male,78,"[6, 5, 49, 54, 8, 48, 7, 4]",8,1000.0,851.61,2.44743,1.0,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,0,613.0,14.8,71.0,51.0
123,male,78,"[6, 5, 49, 54, 8, 48, 7, 4]",8,1000.0,851.61,6.544885,1.0,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,0,613.0,14.8,71.0,51.0
232,male,9,"[14, 9, 11, 10, 12, 8, 24, 19]",8,1000.0,847.03,24.698154,1.0,2.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,1.0,,,,,0,572.0,9.3,99.0,31.2
123,male,283,"[6, 5, 9, 8, 7, 3, 4]",7,1000.0,806.17,10.431531,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,736.0,16.2,86.0,63.0
123,male,283,"[2, 6, 5, 7, 3, 4]",6,1000.0,660.24,8.032179,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,661.0,13.6,86.0,50.3
123,male,283,"[2, 6, 5, 1, 8, 7, 3, 4]",8,1000.0,838.95,15.100577,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,793.0,14.9,115.0,54.6
232,male,89,"[6, 5, 9, 8, 7, 4]",6,1000.0,639.37,9.516259,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,0,713.0,15.8,83.0,61.0
123,female,23,"[6, 5, 9, 10, 8, 7]",6,1000.0,531.37,10.263698,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,0,618.0,17.2,84.0,36.0
123,male,23,"[6, 5, 9, 10, 8, 7, 4]",7,1000.0,722.49,12.332042,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,0,783.0,20.8,84.0,67.0
123,male,32,"[14, 6, 9, 11, 10, 12, 8, 7, 19]",9,1000.0,904.94,10.320053,2.0,2.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,0,740.0,17.5,115.0,40.2
232,female,889,"[14, 6, 38, 9, 11, 10, 12, 42, 8, 24, 7]",11,1000.0,995.01,14.018237,2.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,0,906.0,19.6,139.0,44.2
232,male,889,"[6, 5, 9, 11, 10, 8, 7]",7,1000.0,609.56,10.45174,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,0,673.0,17.8,95.0,41.0
123,male,12,"[2, 6, 5, 9, 11, 10, 12, 8, 7, 3]",10,1000.0,899.14,24.227,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,0,863.0,18.8,140.0,45.5
123,female,12,"[6, 5, 9, 10, 8, 7, 3, 4]",8,1000.0,889.29,34.273029,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,0,806.0,21.2,87.0,69.0
123,male,12,"[14, 38, 9, 11, 10, 12, 42, 8, 24, 47]",10,1000.0,989.22,12.290032,1.0,2.0,1.0,2.0,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,0,738.0,11.4,123.0,35.2
123,male,12,"[14, 9, 11, 10, 12, 8, 24, 7]",8,1000.0,783.32,8.668098,1.0,2.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,0,722.0,17.299999999999997,111.0,39.2
123,male,12,"[14, 9, 11, 10, 12, 8, 24, 7]",8,1000.0,783.32,81.627213,1.0,2.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,0,722.0,17.299999999999997,111.0,39.2
123,male,12,"[14, 9, 11, 10, 12, 8, 24, 7]",8,1000.0,783.32,85.149147,1.0,2.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,0,722.0,17.299999999999997,111.0,39.2
232,male,89,[],0,1000.0,0.0,100.767424,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0
232,male,78,"[91, 94, 90, 83, 85]",5,1000.0,693.39,10.791579,,,,1.0,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,0,600.0,19.5,79.0,30.0
